"Style","Price","Rating","Size","Season","NeckLine","SleeveLength","waiseline","Material","FabricType","Decoration","Pattern","Class"
"cute","low",4.8,"free","spring","v-neck","sleevless","empire","chiffonfabric","chiffon","lace","print","2"
"party","average",4.5,"l","summer","v-neck","full","natural","cotton","chiffon","lace","solid","2"
"work","average",4.8,"m","winter","turndowncollor","full","natural","cotton","worsted","lace","solid","1"
"cute","low",4.6,"free","summer","peterpan-collor","short","empire","cotton","broadcloth","applique","print","1"
"vintage","average",4.6,"s","spring","o-neck","full","natural","mix","chiffon","embroidary","print","1"
"brief","average",4.9,"xl","spring","slash-neck","full","natural","cotton","chiffon","sashes","solid","1"
"casual","low",4.8,"free","spring","o-neck","full","natural","cotton","worsted","lace","solid","1"
"casual","average",4.6,"l","summer","bowneck","full","dropped","cotton","chiffon","lace","patchwork","1"
"cute","medium",4.8,"free","spring","slash-neck","sleevless","natural","polyster","chiffon","sashes","solid","2"
"casual","average",4.6,"l","winter","boat-neck","sleevless","empire","silk","broadcloth","applique","print","2"
"casual","low",4.7,"free","summer","o-neck","capsleeves","natural","chiffonfabric","chiffon","sashes","print","2"
"casual","low",4.6,"s","spring","o-neck","full","natural","cotton","worsted","lace","solid","2"
"casual","average",4.5,"l","winter","o-neck","short","natural","cotton","broadcloth","bow","patchwork","1"
"casual","low",4.4,"free","summer","o-neck","sleevless","natural","cotton","worsted","lace","solid","2"
"casual","low",4.7,"m","autumn","o-neck","full","natural","cotton","chiffon","lace","solid","1"
"vintage","average",5,"m","summer","v-neck","thressqatar","natural","polyster","broadcloth","beading","print","1"
"casual","average",4.6,"m","winter","v-neck","full","natural","chiffonfabric","chiffon","sashes","solid","1"
"casual","average",4.6,"m","winter","v-neck","halfsleeve","natural","silk","chiffon","sashes","solid","2"
"brief","average",4.6,"m","winter","peterpan-collor","threequarter","natural","cotton","chiffon","sashes","solid","1"
"casual","average",5,"l","summer","o-neck","sleevless","natural","cotton","worsted","lace","striped","2"
"casual","low",4.7,"free","winter","o-neck","sleevless","natural","cotton","jersey","sashes","solid","2"
"bohemian","average",4.8,"s","summer","v-neck","short","natural","cotton","chiffon","sashes","solid","1"
"casual","low",4.8,"free","spring","o-neck","sleevless","natural","chiffonfabric","chiffon","sashes","print","2"
"casual","average",5,"free","winter","v-neck","full","natural","cashmere","chiffon","ruffles","solid","2"
"casual","high",4.9,"xl","winter","v-neck","full","empire","cotton","chiffon","sequined","solid","1"
"casual","low",4.3,"free","spring","o-neck","full","natural","polyster","chiffon","sashes","none","2"
"casual","average",4.6,"xl","spring","bowneck","sleevless","natural","mix","chiffon","lace","solid","1"
"casual","low",5,"m","summer","v-neck","sleevless","empire","polyster","chiffon","ruffles","animal","1"
"casual","low",4.7,"l","summer","o-neck","sleevless","natural","cotton","chiffon","sashes","solid","2"
"casual","low",5,"free","spring","slash-neck","sleevless","empire","spandex","chiffon","ruffles","striped","2"
"cute","low",5,"l","winter","o-neck","threequarter","natural","silk","chiffon","sashes","print","1"
"cute","low",4.5,"l","summer","o-neck","sleevless","natural","cotton","chiffon","sashes","solid","2"
"casual","average",4.5,"free","summer","bowneck","halfsleeve","natural","cotton","worsted","lace","solid","1"
"vintage","high",4.7,"l","autumn","o-neck","full","natural","polyster","chiffon","lace","print","1"
"casual","low",4.4,"free","summer","turndowncollor","sleevless","natural","cotton","chiffon","sashes","solid","1"
"casual","average",4.7,"xl","summer","v-neck","halfsleeve","natural","cotton","broadcloth","ruffles","print","2"
"sexy","low",4.6,"free","summer","v-neck","sleevless","natural","cotton","broadcloth","beading","solid","1"
"casual","average",4.7,"m","autumn","v-neck","sleevless","natural","polyster","chiffon","button","striped","2"
"brief","average",4.6,"l","spring","o-neck","full","natural","silk","chiffon","embroidary","print","2"
"casual","low",4.7,"s","summer","o-neck","full","natural","cotton","chiffon","lace","patchwork","1"
"casual","high",4.8,"l","winter","v-neck","full","empire","polyster","chiffon","sequined","solid","1"
"casual","low",4.4,"free","winter","halter","sleevless","natural","cotton","worsted","draped","solid","2"
"vintage","average",4.7,"l","summer","o-neck","short","natural","cotton","chiffon","button","solid","1"
"work","low",4.7,"free","summer","o-neck","full","empire","cotton","worsted","lace","solid","1"
"party","average",4.7,"free","spring","sweetheart","sleevless","empire","rayon","chiffon","beading","solid","2"
"brief","low",4,"xl","summer","v-neck","short","natural","cotton","broadcloth","pockets","solid","1"
"casual","low",4.6,"free","spring","o-neck","short","natural","cotton","worsted","hollowout","solid","1"
"party","very-high",5,"m","spring","slash-neck","sleevless","natural","chiffonfabric","chiffon","flowers","solid","2"
"sexy","low",4.8,"free","spring","slash-neck","sleevless","natural","cotton","broadcloth","sequined","solid","1"
"casual","low",4.5,"free","autumn","v-neck","short","natural","silk","worsted","lace","solid","1"
"vintage","low",4.8,"s","summer","o-neck","short","natural","chiffonfabric","chiffon","ruffles","print","1"
"casual","average",4.6,"free","autumn","v-neck","full","natural","cotton","chiffon","lace","solid","1"
"bohemian","average",4.6,"m","spring","o-neck","sleevless","natural","shiffon","shiffon","sashes","solid","1"
"cute","high",4.3,"m","spring","boat-neck","full","natural","polyster","terry","lace","solid","2"
"party","very-high",4.7,"m","winter","v-neck","cap-sleeves","empire","polyster","chiffon","lace","patchwork","1"
"cute","medium",4.9,"s","summer","bowneck","sleevless","empire","cotton","chiffon","bow","patchwork","2"
"bohemian","medium",5,"free","autumn","o-neck","full","natural","cotton","worsted","hollowout","patchwork","2"
"casual","low",4.8,"l","summer","v-neck","thressqatar","natural","cotton","chiffon","sashes","print","1"
"sexy","average",4.8,"s","winter","v-neck","sleevless","empire","polyster","chiffon","lace","solid","1"
"casual","average",4.5,"l","spring","boat-neck","sleevless","natural","cotton","chiffon","applique","patchwork","2"
"casual","low",4.7,"m","spring","o-neck","sleevless","natural","silk","chiffon","applique","solid","2"
"casual","low",4.7,"m","winter","o-neck","full","empire","polyster","chiffon","lace","print","2"
"vintage","low",4.8,"free","summer","o-neck","sleevless","natural","cotton","batik","ruffles","print","2"
"casual","average",4.7,"m","autumn","o-neck","sleevless","natural","cotton","chiffon","sashes","animal","2"
"work","average",4.6,"l","spring","o-neck","short","empire","cotton","jersey","pockets","patchwork","1"
"casual","low",4.4,"free","summer","o-neck","sleevless","natural","cotton","chiffon","sashes","animal","1"
"sexy","average",4.5,"l","autumn","o-neck","full","natural","cotton","jersey","beading","solid","1"
"casual","average",4.7,"l","spring","o-neck","sleevless","natural","chiffonfabric","chiffon","sequined","solid","1"
"party","average",5,"m","spring","o-neck","halfsleeve","natural","cotton","chiffon","lace","solid","2"
"casual","average",4.8,"m","autumn","v-neck","short","natural","cotton","chiffon","embroidary","print","2"
"party","average",5,"m","spring","o-neck","sleevless","natural","nylon","chiffon","beading","solid","2"
"bohemian","average",5,"free","summer","v-neck","sleevless","natural","cotton","batik","lace","print","2"
"casual","high",4.9,"s","spring","o-neck","threequarter","natural","cotton","chiffon","lace","dot","2"
"bohemian","low",4.5,"m","summer","v-neck","sleevless","natural","polyster","chiffon","sashes","print","2"
"bohemian","average",4.7,"l","winter","turndowncollor","full","natural","mix","chiffon","applique","solid","1"
"sexy","low",4.6,"l","autumn","o-neck","sleevless","natural","cotton","chiffon","lace","solid","2"
"casual","average",4.6,"m","spring","o-neck","sleevless","natural","cotton","chiffon","sashes","solid","2"
"cute","average",4.8,"l","autumn","slash-neck","sleevless","natural","polyster","chiffon","hollowout","solid","1"
"sexy","average",4.6,"free","autumn","o-neck","full","natural","polyster","sattin","hollowout","solid","1"
"bohemian","low",4.8,"m","summer","v-neck","sleevless","empire","cotton","batik","ruffles","print","1"
"brief","average",4.3,"l","spring","o-neck","sleevless","empire","cotton","chiffon","bow","solid","2"
"vintage","medium",4.7,"free","spring","turndowncollor","sleevless","natural","mix","chiffon","lace","solid","2"
"casual","low",5,"m","spring","o-neck","sleevless","natural","spandex","jersey","sashes","print","1"
"cute","average",4.7,"l","spring","o-neck","short","natural","cotton","chiffon","sashes","solid","2"
"party","very-high",4.2,"l","winter","v-neck","sleevless","natural","cotton","lace","lace","solid","2"
"party","high",4.6,"m","winter","sweetheart","sleevless","natural","chiffonfabric","chiffon","beading","solid","1"
"cute","medium",5,"free","winter","o-neck","sleevless","natural","silk","broadcloth","lace","solid","2"
"casual","average",3,"m","spring","turndowncollor","short","empire","polyster","chiffon","sashes","patchwork","1"
"casual","average",4.7,"s","summer","o-neck","sleevless","empire","cotton","chiffon","sashes","solid","1"
"novelty","medium",4.2,"m","winter","o-neck","halfsleeve","natural","polyster","chiffon","hollowout","animal","2"
"casual","average",5,"m","autumn","v-neck","short","natural","cotton","broadcloth","beading","solid","1"
"sexy","low",4.3,"free","winter","v-neck","sleevless","dropped","cotton","chiffon","lace","solid","2"
"novelty","average",4.9,"free","autumn","o-neck","short","natural","polyster","broadcloth","lace","solid","1"
"party","high",4.7,"m","spring","sweetheart","sleevless","natural","nylon","chiffon","beading","solid","1"
"casual","medium",4.6,"s","spring","v-neck","full","natural","polyster","chiffon","ruffles","animal","2"
"brief","low",4.7,"m","winter","o-neck","full","natural","cotton","chiffon","lace","patchwork","1"
"party","average",4.8,"m","summer","o-neck","full","natural","cotton","chiffon","lace","solid","2"
"cute","low",4.5,"m","summer","o-neck","butterfly","natural","chiffonfabric","chiffon","bow","dot","1"
"casual","average",4.6,"m","autumn","o-neck","short","empire","polyster","chiffon","applique","dot","1"
"sexy","low",4.7,"free","summer","v-neck","sleevless","empire","cotton","chiffon","sequined","solid","1"
"sexy","average",4.5,"m","spring","o-neck","threequarter","natural","polyster","chiffon","lace","geometric","1"
"work","average",4.3,"m","summer","v-neck","sleevless","natural","cotton","worsted","lace","solid","2"
"sexy","low",5,"free","spring","v-neck","sleevless","empire","cotton","chiffon","sequined","solid","1"
"casual","low",4.5,"free","winter","o-neck","full","natural","mix","worsted","applique","solid","1"
"casual","low",1,"m","spring","o-neck","halfsleeve","natural","silk","chiffon","lace","solid","1"
