"surgery","Age","temp_extremities","peripheral_pulse","mucous_membranes","capillary_refill_time","pain","peristalsis","abdominal_distension","nasogastric_tube","nasogastric_reflux","rectal_examination","abdomen","outcome","rectal_temperature","pulse","respiratory_rate","packed_cell_volume","total_protein","surgical_lesion"
"yes","adult","normal","normal","normal pink","<3","alert no pain","normal","none","slight","none","normal","other","lived",37.8,40,12,38,7,"yes"
"yes","adult","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine","lived",38.2,72,18,35,6.4,"yes"
"yes","adult","cool","normal","normal pink","<3","depressed","hypomotile","none","slight","none","absent","distended small intestine","lived",39.1,60,10,39.2478934016392,48.4651939125996,"yes"
"yes","adult","cool","reduced","normal pink","<3","intermittent mild pain","absent","severe","slight","none","absent","distended large intestine","euthanized",29.7820699281498,76,33.3276627260193,39.1635341761178,-15.067075286209,"yes"
"yes","adult","normal","reduced","pale pink","<3","continuous severe pain","hypomotile","none","none","none","decreased","distended large intestine","euthanized",38,66,20,46,46,"yes"
"no","adult","normal","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","normal","lived",21.3557113824425,44,24,26.2965397146752,6.3,"no"
"yes","adult","warm","reduced","normal pink","<3","depressed","absent","moderate","significant",">1l","absent","distended large intestine","lived",38.3,66,30,37,6,"yes"
"yes","adult","cool","normal","normal pink","<3","alert no pain","hypermotile","none","slight","none","absent","distended large intestine","lived",38.6,48,12,36,67,"no"
"yes","adult","cool","normal","pale pink",">=3","intermittent severe pain","absent","slight","slight","<1l","absent","distended small intestine","died",37.1,75,36,48,7.4,"yes"
"no","adult","cool","reduced","dark cyanotic",">=3","depressed","absent","moderate","none",">1l","decreased","distended large intestine","lived",39.6,108,51,59,8,"no"
"yes","adult","warm","normal","normal pink","<3","alert no pain","hypomotile","none","none","none","absent","distended large intestine","lived",31.3589108940141,40,17.2188567663941,39,56,"yes"
"no","adult","normal","normal","normal pink","<3","intermittent mild pain","hypomotile","slight","slight","none","absent","distended large intestine","lived",37.5,44,23.8787154981001,45,5.8,"no"
"yes","adult","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine","died",37.7,56,24.224053962878,38.1021590044431,35.7740089148296,"yes"
"yes","adult","cold","reduced","pale pink",">=3","intermittent mild pain","hypomotile","moderate","slight","none","decreased","distended large intestine","lived",38.3,72,30,43,7,"yes"
"yes","adult","normal","normal","normal pink","<3","alert no pain","normal","none","none","none","normal","distended large intestine","lived",31.8405194479557,36,12,44,64.8340047010761,"yes"
"no","young","normal","normal","bright pink","<3","alert no pain","hypomotile","slight","significant","none","absent","distended large intestine","lived",38,92,28,37,6.1,"no"
"yes","adult","cool","reduced","normal pink","<3","continuous severe pain","hypomotile","none","slight","none","normal","normal","lived",37.8,72,28.3046035385029,56,80,"yes"
"no","adult","warm","increased","normal pink","<3","alert no pain","normal","slight","slight","none","normal","normal","lived",38.5,60,28.5023497682989,44,7.7,"no"
"no","adult","normal","normal","normal pink","<3","depressed","hypomotile","none","slight","none","absent","firm feces in large intestine","lived",37.9,40,24,40,5.7,"yes"
"no","adult","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","slight","none","<1l","absent","distended large intestine","died",37.6,88,36,44,6,"yes"
"yes","adult","cool","reduced","pale cyanotic",">=3","continuous severe pain","absent","severe","significant","<1l","absent","distended small intestine","lived",42.7148194437751,100,30,52,6.6,"yes"
"no","adult","cool","normal","pale cyanotic","<3","alert no pain","hypermotile","moderate","slight","none","normal","normal","euthanized",37.6,48,20,37,5.5,"yes"
"yes","adult","cold","reduced","pale cyanotic",">=3","continuous severe pain","absent","severe","slight","none","absent","distended large intestine","died",38,90,30,55,6.1,"yes"
"yes","adult","cold","absent","dark cyanotic","<3","depressed","absent","none","none","<1l","absent","distended small intestine","euthanized",39.3,100,51,66,13,"yes"
"no","adult","cool","reduced","pale cyanotic",">=3","continuous severe pain","absent","slight","slight","none","absent","distended large intestine","lived",42.8795215881333,112,24,40,5.3,"no"
"no","adult","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","moderate","slight",">1l","absent","distended small intestine","euthanized",37,60,20,43,7.6,"yes"
"yes","adult","cool","reduced","pale cyanotic",">=3","intermittent mild pain","absent","severe","slight","none","absent","distended large intestine","lived",58.1547466982213,100,42.0873349528305,68,64,"yes"
"yes","adult","normal","normal","pale cyanotic","<3","continuous severe pain","hypomotile","moderate","slight","<1l","absent","distended small intestine","died",22.7337432231874,36,32,41,5.9,"yes"
"yes","adult","warm","normal","pale pink","<3","depressed","hypomotile","none","slight","none","absent","distended large intestine","euthanized",38.7,34,30,33,69,"yes"
"yes","adult","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","slight","none","none","normal","firm feces in large intestine","lived",37.8,48,12,37,5.5,"no"
"yes","adult","normal","normal","pale pink","<3","depressed","absent","slight","slight","<1l","absent","distended small intestine","lived",38.4,104,40,55,8.5,"yes"
"no","adult","warm","normal","pale pink","<3","intermittent mild pain","absent","moderate","none",">1l","normal","distended small intestine","died",38,44,12,33,6.5,"yes"
"yes","young","normal","reduced","dark cyanotic",">=3","continuous severe pain","hypomotile","slight","none","none","absent","distended large intestine","died",38.8,150,50,50,6.2,"yes"
"no","adult","cool","normal","normal pink","<3","intermittent mild pain","hypermotile","slight","slight","none","decreased","firm feces in large intestine","lived",37.5,44,10,43,51,"no"
"yes","adult","warm","normal","bright pink","<3","depressed","hypomotile","moderate","slight","<1l","absent","distended large intestine","lived",37.7,55,28,37.9650542678594,33.053535410736,"yes"
"no","adult","cool","reduced","pale pink",">=3","continuous severe pain","absent","severe","none",">1l","absent","distended large intestine","died",46.3306072147408,96,41.9791492671005,60,16.7599515454186,"yes"
"no","adult","cool","normal","bright pink","<3","depressed","hypermotile","slight","slight","none","decreased","other","lived",38.5,60,40,49,59,"no"
"yes","adult","cool","reduced","dark cyanotic",">=3","continuous severe pain","hypomotile","severe","none","none","absent","distended large intestine","died",38,91.9130993346303,24,68,7.8,"yes"
"yes","adult","cold","normal","pale cyanotic",">=3","continuous severe pain","hypomotile","none","none","<1l","absent","distended small intestine","died",38.1,84,44,60,6.8,"yes"
"no","adult","warm","normal","bright pink","<3","depressed","hypermotile","slight","none","none","absent","distended small intestine","lived",39.1,72,52,50,7.8,"yes"
"yes","young","cold","absent","dark cyanotic","<3","intermittent mild pain","hypomotile","moderate","slight","none","normal","distended large intestine","died",38.2,78,60,59,5.8,"yes"
"yes","adult","normal","normal","normal pink","<3","intermittent mild pain","hypermotile","none","slight","none","absent","distended large intestine","lived",38.5,60,23.3579618167802,33,53,"yes"
"yes","young","normal","normal","normal pink","<3","intermittent severe pain","hypermotile","moderate","slight","none","increased","distended large intestine","died",38.8,184,84,33,3.3,"yes"
"yes","adult","warm","reduced","pale cyanotic","<3","intermittent severe pain","hypomotile","moderate","slight","none","decreased","distended small intestine","lived",38,108,60,54.2164576098844,-41.9559559403346,"yes"
"no","adult","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine","lived",37.8,60,42,40.0792757078069,16.4695442857172,"no"
"no","adult","cool","normal","pale pink","<3","alert no pain","hypomotile","none","slight","none","absent","other","lived",38,42,12,37,5.8,"no"
"no","adult","normal","normal","normal pink","<3","alert no pain","hypomotile","none","slight","none","decreased","other","lived",38.4,54,24,49,7.2,"no"
"no","adult","cool","normal","pale pink","<3","intermittent mild pain","normal","moderate","slight","none","absent","distended large intestine","lived",37.5,40,32,32,6.4,"yes"
"yes","adult","cool","reduced","normal pink","<3","intermittent mild pain","hypomotile","slight","slight",">1l","decreased","distended small intestine","died",37.5,60,50,35,6.5,"yes"
"yes","adult","cool","absent","bright red",">=3","depressed","hypomotile","slight","slight","none","absent","distended large intestine","died",34.3102110360847,70,16,60,7.5,"yes"
"yes","adult","normal","normal","pale pink",">=3","intermittent mild pain","absent","severe","slight","<1l","absent","distended large intestine","euthanized",37.8,60,24,52,75,"yes"
"yes","young","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine","lived",35.9175941652168,79.0856262912123,34.1255130251081,45,6.5,"yes"
"no","adult","normal","normal","pale pink","<3","intermittent mild pain","hypermotile","none","slight","none","normal","distended large intestine","lived",37.5,44,20,35,7.2,"no"
"yes","adult","cool","reduced","pale cyanotic","<3","intermittent mild pain","absent","moderate","slight","none","absent","distended small intestine","lived",26.4363528616263,52,28,37,8.1,"yes"
"yes","adult","cool","reduced","normal pink","<3","depressed","hypomotile","slight","significant","none","decreased","distended large intestine","lived",37.3,40,16.8778389549791,36,64.6566686094276,"yes"
"no","adult","cool","normal","pale pink","<3","intermittent mild pain","hypomotile","none","slight","none","decreased","other","lived",37.774011014712,84,36,44,8.5,"yes"
"yes","adult","cool","reduced","pale cyanotic",">=3","continuous severe pain","absent","severe","none","none","absent","distended large intestine","lived",42.3054520292606,60,30,45,70,"yes"
"no","young","warm","normal","normal pink","<3","intermittent severe pain","hypermotile","none","slight","none","normal","distended large intestine","lived",41.1673337746314,100,44,37,4.7,"no"
"yes","young","cool","normal","bright red","<3","intermittent mild pain","hypomotile","severe","significant","none","absent","distended large intestine","died",38.6,160,20,38,-92.5921386412943,"yes"
"no","adult","cool","normal","normal pink","<3","intermittent mild pain","hypermotile","slight","slight","none","normal","distended large intestine","lived",38,44,12,42,64,"no"
"yes","adult","cool","normal","dark cyanotic",">=3","intermittent severe pain","absent","moderate","none","none","absent","distended large intestine","euthanized",39.7,100,30,65,75,"yes"
"yes","adult","cool","normal","normal pink","<3","intermittent severe pain","hypomotile","none","none","none","absent","distended large intestine","lived",32.408841109848,44.832265831838,17.9976053870188,35,58,"yes"
"no","adult","cool","normal","normal pink","<3","depressed","hypomotile","none","slight","<1l","normal","normal","lived",38,52,16,53,86,"yes"
"no","adult","normal","normal","normal pink","<3","intermittent mild pain","hypermotile","none","slight","none","absent","firm feces in large intestine","lived",37.8,48,16,43,7.5,"no"
"yes","adult","cool","normal","normal pink","<3","depressed","hypermotile","none","slight",">1l","normal","distended small intestine","lived",38.3,60,16,30,6,"yes"
"yes","adult","cool","normal","normal pink","<3","continuous severe pain","hypomotile","none","slight","none","absent","distended large intestine","euthanized",38.1,70,22,36,65,"yes"
"no","adult","cool","normal","normal pink","<3","intermittent severe pain","hypomotile","slight","none","none","absent","distended large intestine","lived",38,40,25,37,69,"no"
"no","young","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine","lived",39.5,84,30,28,5,"no"
"yes","adult","cool","reduced","normal pink","<3","alert no pain","hypomotile","none","slight","none","normal","normal","lived",38.2,40,16,34,66,"no"
"no","adult","cool","reduced","bright pink","<3","depressed","hypomotile","moderate","slight","none","decreased","distended large intestine","lived",51.0282519326714,80,32,50,80,"yes"
"no","adult","warm","normal","bright red","<3","intermittent mild pain","hypermotile","none","slight","none","absent","other","lived",37.9,54,42,47,54,"no"
"yes","adult","cool","normal","pale cyanotic","<3","intermittent mild pain","absent","slight","slight","none","absent","other","euthanized",39.2,88,20,50,85,"no"
"no","adult","normal","normal","pale pink","<3","intermittent mild pain","hypomotile","none","slight","none","normal","normal","lived",38.3,40,24,33,6.7,"no"
"no","adult","warm","normal","normal pink","<3","alert no pain","hypomotile","slight","slight","none","absent","other","lived",38.4,48,16,39,6.5,"no"
"yes","adult","normal","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine","lived",38.5,66,24,40,6.7,"yes"
"yes","young","normal","reduced","bright pink","<3","depressed","hypomotile","severe","slight","none","absent","distended large intestine","lived",38.2,124,88,47,8,"yes"
"yes","adult","cool","reduced","pale pink","<3","intermittent severe pain","absent","moderate","slight","none","decreased","distended large intestine","lived",38.1,72,30,37,56,"yes"
"no","adult","cool","normal","normal pink","<3","alert no pain","hypermotile","none","none","none","normal","distended large intestine","lived",38.7,48,24,34,63,"no"
"no","adult","cool","reduced","normal pink",">=3","depressed","hypomotile","moderate","slight","none","normal","distended large intestine","euthanized",40.3,114,36,57,8.1,"yes"
"no","adult","normal","normal","pale pink","<3","intermittent mild pain","hypomotile","none","slight","<1l","absent","distended large intestine","lived",28.2458934901239,52,16,55,7.2,"no"
"no","adult","cool","reduced","dark cyanotic","<3","continuous severe pain","absent","none","slight","<1l","absent","distended large intestine","died",39.5,92,28,72,6.4,"no"
"yes","adult","cool","absent","pale pink",">=3","continuous severe pain","absent","severe","none","none","decreased","distended large intestine","lived",37.7,44,28,45,70,"yes"
"yes","young","cool","reduced","pale pink","<3","continuous severe pain","hypermotile","moderate","slight",">1l","increased","distended large intestine","died",38.1,136,48,33,4.9,"yes"
"no","adult","warm","reduced","pale pink","<3","alert no pain","hypomotile","slight","significant","none","absent","distended large intestine","lived",36.9,50,40,37.5,6.5,"no"
"yes","adult","cool","reduced","pale cyanotic","<3","intermittent severe pain","hypomotile","slight","slight","none","absent","distended small intestine","died",36.4,98,35,47,6.4,"yes"
"yes","adult","normal","normal","pale pink","<3","intermittent mild pain","hypomotile","moderate","slight","<1l","absent","distended large intestine","lived",38.5,90,32.5028627630903,47,79,"yes"
"no","adult","normal","normal","normal pink","<3","alert no pain","hypermotile","none","slight","none","absent","distended large intestine","lived",38.3,42,10,38,61,"no"
"yes","adult","cool","normal","normal pink","<3","intermittent mild pain","absent","none","significant",">1l","absent","distended large intestine","lived",43.2967048789685,60,40,42,72,"yes"
"yes","adult","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine","died",37.8,30,12,30.3927032521186,69.9228754945359,"yes"
"yes","young","cool","normal","bright pink","<3","intermittent mild pain","absent","none","slight","none","normal","distended large intestine","lived",38.1,100,80,36,5.7,"yes"
"yes","adult","normal","normal","pale pink","<3","intermittent mild pain","hypomotile","none","slight","none","decreased","other","lived",38.2,60,30,48,66,"yes"
"yes","adult","warm","normal","pale cyanotic","<3","depressed","hypomotile","none","slight","none","normal","distended large intestine","lived",38.6,42,34,48,7.2,"yes"
"no","adult","normal","normal","normal pink","<3","alert no pain","hypomotile","none","slight","none","decreased","other","lived",38.4,54,24,49,7.2,"no"
"yes","adult","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","normal","euthanized",37.2,40,20,36,62,"no"
"yes","young","cool","normal","bright pink","<3","depressed","hypomotile","severe","none","none","absent","distended small intestine","died",38.8,124,36,50,7.6,"yes"
"yes","adult","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine","lived",19.4292136947414,41.1604227116939,17.6784608228222,24,6.7,"yes"
"yes","adult","normal","normal","pale pink",">=3","intermittent mild pain","hypomotile","slight","slight","none","absent","distended large intestine","died",37.4,84,36,46.1244778107375,-0.898964681536359,"yes"
"no","adult","normal","increased","pale pink","<3","alert no pain","hypermotile","none","none","none","normal","normal","lived",38,56,22.0849768559512,42,71,"no"
"yes","adult","normal","normal","normal pink","<3","intermittent mild pain","hypermotile","none","slight","none","absent","distended small intestine","lived",38.2,64,28,49,8.6,"yes"
"yes","adult","cool","normal","bright red","<3","intermittent mild pain","hypomotile","moderate","none","none","absent","distended large intestine","euthanized",39.4,120,48,56,64,"no"
"yes","adult","normal","normal","bright red","<3","intermittent severe pain","hypomotile","none","slight","<1l","normal","distended large intestine","died",38.1,52,24,54,7.5,"yes"
"no","adult","cool","normal","pale pink",">=3","depressed","normal","none","slight","none","absent","firm feces in large intestine","lived",37.1,114,40,32,-63.1557378651034,"no"
"no","adult","cool","normal","normal pink","<3","depressed","hypomotile","slight","slight","none","absent","other","lived",38.9,44,14,33,64,"no"
"yes","adult","cold","reduced","bright red",">=3","depressed","absent","moderate","slight","<1l","absent","distended large intestine","lived",39,120,49.7363286826301,65,8.2,"no"
"yes","adult","normal","normal","pale pink","<3","intermittent severe pain","absent","moderate","slight","none","decreased","distended large intestine","died",38.5,86,36.4889731713153,45,7.4,"yes"
"no","adult","cool","reduced","pale cyanotic","<3","alert no pain","absent","slight","slight","none","absent","other","lived",38,48,20,49,8.3,"no"
"no","adult","cool","reduced","pale pink",">=3","depressed","hypomotile","none","slight","none","decreased","distended large intestine","lived",37.9,45,36,33,5.7,"yes"
"yes","adult","cool","reduced","pale cyanotic",">=3","continuous severe pain","absent","moderate","significant","none","absent","distended large intestine","died",40.344760167066,88,40,50,7.7,"yes"
"yes","adult","cool","reduced","bright red","<3","intermittent mild pain","hypomotile","none","slight","none","increased","distended large intestine","lived",38.1,66,12,44,6,"yes"
"no","adult","cool","normal","normal pink","<3","depressed","hypermotile","none","none","none","decreased","other","lived",37.5,48,24,43,6,"no"
"yes","adult","cool","reduced","normal pink","<3","intermittent severe pain","hypomotile","severe","slight","none","absent","distended large intestine","lived",38.5,104,40,52.4235430040598,-19.2574387261151,"yes"
"no","adult","cool","normal","pale pink",">=3","intermittent mild pain","hypomotile","slight","significant","<1l","absent","distended small intestine","lived",38.2,60,24,53,7.5,"no"
