"Style","Price","Size","Season","NeckLine","SleeveLength","waiseline","Material","FabricType","Decoration","Pattern","Rating","Class"
"vintage","average","s","spring","o-neck","full","natural","mix","chiffon","embroidary","print",0,"1"
"brief","average","xl","spring","slash-neck","full","natural","cotton","chiffon","sashes","solid",4.9,"1"
"casual","low","free","spring","o-neck","full","natural","cotton","worsted","lace","solid",4.8,"1"
"casual","average","l","summer","bowneck","full","dropped","cotton","chiffon","lace","patchwork",4.6,"1"
"cute","medium","free","spring","slash-neck","sleevless","natural","polyster","chiffon","sashes","solid",4.8,"2"
"casual","average","l","winter","boat-neck","sleevless","empire","silk","broadcloth","applique","print",4.6,"2"
"casual","low","free","summer","o-neck","capsleeves","natural","chiffonfabric","chiffon","lace","print",4.7,"2"
"casual","low","s","spring","o-neck","full","natural","cotton","chiffon","lace","solid",4.6,"2"
"casual","average","l","winter","o-neck","short","natural","cotton","chiffon","bow","patchwork",4.5,"1"
"casual","low","free","summer","o-neck","sleevless","natural","cotton","chiffon","lace","solid",4.4,"2"
"casual","low","m","autumn","o-neck","full","natural","cotton","chiffon","lace","solid",4.7,"1"
"vintage","average","m","summer","v-neck","thressqatar","natural","polyster","chiffon","lace","print",5,"1"
"casual","average","m","winter","v-neck","full","natural","chiffonfabric","chiffon","lace","solid",4.6,"1"
"casual","average","m","winter","v-neck","halfsleeve","natural","silk","chiffon","sashes","solid",4.6,"2"
"brief","average","m","winter","peterpan-collor","threequarter","natural","cotton","chiffon","lace","solid",4.6,"1"
"casual","average","l","summer","o-neck","sleevless","natural","cotton","chiffon","lace","solid",5,"2"
"casual","low","free","winter","o-neck","sleevless","natural","cotton","jersey","lace","solid",4.7,"2"
"bohemian","average","s","summer","v-neck","short","natural","cotton","chiffon","lace","solid",4.8,"1"
"casual","low","free","spring","o-neck","sleevless","natural","chiffonfabric","chiffon","lace","print",4.8,"2"
"casual","average","free","winter","v-neck","full","natural","cashmere","chiffon","lace","solid",0,"2"
"casual","high","xl","winter","v-neck","full","empire","cotton","chiffon","sequined","solid",4.9,"1"
"casual","low","free","spring","o-neck","full","natural","cotton","chiffon","sashes","none",4.3,"2"
"casual","average","xl","spring","bowneck","sleevless","natural","mix","chiffon","lace","solid",0,"1"
"casual","low","m","summer","v-neck","sleevless","empire","polyster","chiffon","ruffles","animal",5,"1"
"casual","low","l","summer","o-neck","sleevless","natural","cotton","chiffon","lace","solid",4.7,"2"
"casual","low","free","spring","slash-neck","sleevless","empire","spandex","chiffon","lace","striped",5,"2"
"cute","low","l","winter","o-neck","threequarter","natural","silk","chiffon","sashes","print",5,"1"
"cute","low","l","summer","o-neck","sleevless","natural","cotton","chiffon","sashes","solid",4.5,"2"
"casual","average","free","summer","bowneck","halfsleeve","natural","cotton","chiffon","lace","solid",0,"1"
"vintage","high","l","autumn","o-neck","full","natural","polyster","chiffon","lace","print",0,"1"
"casual","low","free","summer","turndowncollor","sleevless","natural","cotton","chiffon","lace","solid",4.4,"1"
"casual","average","xl","summer","v-neck","halfsleeve","natural","cotton","broadcloth","lace","print",4.7,"2"
"sexy","low","free","summer","v-neck","sleevless","natural","cotton","broadcloth","beading","solid",4.6,"1"
"casual","average","m","autumn","v-neck","sleevless","natural","cotton","chiffon","lace","striped",4.7,"2"
"brief","average","l","spring","o-neck","full","natural","silk","chiffon","embroidary","print",4.6,"2"
"casual","low","s","summer","o-neck","full","natural","cotton","chiffon","lace","patchwork",4.7,"1"
"casual","high","l","winter","v-neck","full","natural","polyster","chiffon","lace","solid",0,"1"
"casual","low","free","winter","halter","sleevless","natural","cotton","chiffon","draped","solid",4.4,"2"
"vintage","average","l","summer","o-neck","short","natural","cotton","chiffon","button","solid",4.7,"1"
"work","low","free","summer","o-neck","full","empire","cotton","chiffon","lace","solid",4.7,"1"
"party","average","free","spring","sweetheart","sleevless","empire","rayon","chiffon","beading","solid",4.7,"2"
"brief","low","xl","summer","v-neck","short","natural","cotton","chiffon","pockets","solid",4,"1"
"casual","low","free","spring","o-neck","short","natural","cotton","chiffon","hollowout","solid",0,"1"
"party","very-high","m","spring","slash-neck","sleevless","natural","chiffonfabric","chiffon","flowers","solid",5,"2"
"sexy","low","free","spring","slash-neck","sleevless","natural","cotton","broadcloth","sequined","solid",4.8,"1"
"casual","low","free","autumn","v-neck","short","natural","silk","worsted","lace","solid",4.5,"1"
"vintage","low","s","summer","o-neck","short","natural","cotton","chiffon","ruffles","print",4.8,"1"
"casual","average","free","autumn","v-neck","full","natural","cotton","chiffon","lace","solid",0,"1"
"bohemian","average","m","spring","o-neck","sleevless","natural","shiffon","shiffon","sashes","solid",4.6,"1"
"cute","high","m","spring","boat-neck","full","natural","polyster","terry","lace","solid",4.3,"2"
"party","very-high","m","winter","v-neck","cap-sleeves","natural","cotton","chiffon","lace","solid",0,"1"
"cute","medium","s","summer","bowneck","sleevless","empire","cotton","chiffon","bow","patchwork",4.9,"2"
"bohemian","medium","free","autumn","o-neck","full","natural","cotton","chiffon","hollowout","patchwork",5,"2"
"casual","low","l","summer","v-neck","thressqatar","natural","cotton","chiffon","lace","print",4.8,"1"
"sexy","average","s","winter","v-neck","sleevless","empire","polyster","chiffon","lace","solid",4.8,"1"
"casual","average","l","spring","boat-neck","sleevless","natural","cotton","chiffon","applique","patchwork",0,"2"
"casual","low","m","spring","o-neck","sleevless","natural","silk","chiffon","applique","solid",0,"2"
"casual","low","m","winter","o-neck","full","empire","polyster","chiffon","lace","print",4.7,"2"
"vintage","low","free","summer","o-neck","sleevless","natural","cotton","batik","lace","print",0,"2"
"casual","average","m","autumn","o-neck","sleevless","natural","cotton","chiffon","lace","animal",4.7,"2"
"work","average","l","spring","o-neck","short","empire","cotton","jersey","lace","patchwork",4.6,"1"
"casual","low","free","summer","o-neck","sleevless","natural","cotton","chiffon","lace","animal",4.4,"1"
"sexy","average","l","autumn","o-neck","full","natural","cotton","chiffon","beading","solid",4.5,"1"
"casual","average","l","spring","o-neck","sleevless","natural","chiffonfabric","chiffon","sequined","solid",0,"1"
"party","average","m","spring","o-neck","halfsleeve","natural","cotton","chiffon","lace","solid",5,"2"
"casual","average","m","autumn","v-neck","short","natural","cotton","chiffon","embroidary","print",4.8,"2"
"party","average","m","spring","o-neck","sleevless","natural","cotton","chiffon","lace","solid",5,"2"
"bohemian","average","free","summer","v-neck","sleevless","natural","cotton","batik","lace","print",5,"2"
"casual","high","s","spring","o-neck","threequarter","natural","cotton","chiffon","lace","dot",4.9,"2"
"bohemian","low","m","summer","v-neck","sleevless","natural","polyster","chiffon","lace","print",4.5,"2"
"bohemian","average","l","winter","turndowncollor","full","natural","mix","chiffon","lace","solid",0,"1"
"sexy","low","l","autumn","o-neck","sleevless","natural","cotton","chiffon","lace","solid",4.6,"2"
"casual","average","m","spring","o-neck","sleevless","natural","cotton","chiffon","sashes","solid",4.6,"2"
"cute","average","l","autumn","slash-neck","sleevless","natural","cotton","chiffon","hollowout","solid",4.8,"1"
"sexy","average","free","autumn","o-neck","full","natural","polyster","sattin","hollowout","solid",0,"1"
"bohemian","low","m","summer","v-neck","sleevless","empire","cotton","chiffon","lace","print",0,"1"
"brief","average","l","spring","o-neck","sleevless","empire","cotton","chiffon","bow","solid",4.3,"2"
"vintage","medium","free","spring","turndowncollor","sleevless","natural","mix","chiffon","lace","solid",4.7,"2"
"casual","low","m","spring","o-neck","sleevless","natural","spandex","jersey","lace","print",5,"1"
"cute","average","l","spring","o-neck","short","natural","cotton","chiffon","sashes","solid",4.7,"2"
"party","very-high","l","winter","v-neck","sleevless","natural","cotton","chiffon","lace","solid",4.2,"2"
"party","high","m","winter","sweetheart","sleevless","natural","cotton","chiffon","lace","solid",4.6,"1"
"cute","medium","free","winter","o-neck","sleevless","natural","silk","chiffon","lace","solid",5,"2"
"casual","average","m","spring","turndowncollor","short","empire","polyster","chiffon","sashes","patchwork",3,"1"
"casual","average","s","summer","o-neck","sleevless","empire","cotton","chiffon","lace","solid",0,"1"
"novelty","medium","m","winter","o-neck","halfsleeve","natural","polyster","chiffon","hollowout","animal",4.2,"2"
"casual","average","m","autumn","v-neck","short","natural","cotton","broadcloth","beading","solid",5,"1"
"sexy","low","free","winter","v-neck","sleevless","dropped","cotton","chiffon","lace","solid",0,"2"
"novelty","average","free","autumn","o-neck","short","natural","polyster","broadcloth","lace","solid",0,"1"
"party","high","m","spring","sweetheart","sleevless","natural","nylon","chiffon","lace","solid",0,"1"
"casual","medium","s","spring","v-neck","full","natural","cotton","chiffon","lace","animal",0,"2"
"brief","low","m","winter","o-neck","full","natural","cotton","chiffon","lace","patchwork",4.7,"1"
"party","average","m","summer","o-neck","full","natural","cotton","chiffon","lace","solid",4.8,"2"
"cute","low","m","summer","o-neck","butterfly","natural","chiffonfabric","chiffon","bow","dot",4.5,"1"
"casual","average","m","autumn","o-neck","short","empire","polyster","chiffon","applique","dot",4.6,"1"
"sexy","low","free","summer","v-neck","sleevless","natural","cotton","chiffon","lace","solid",4.7,"1"
"sexy","average","m","spring","o-neck","threequarter","natural","polyster","chiffon","lace","geometric",4.5,"1"
"work","average","m","summer","v-neck","sleevless","natural","cotton","worsted","lace","solid",0,"2"
"sexy","low","free","spring","v-neck","sleevless","empire","cotton","chiffon","lace","solid",5,"1"
"casual","low","free","winter","o-neck","full","natural","mix","worsted","applique","solid",4.5,"1"
"casual","low","m","spring","o-neck","halfsleeve","natural","cotton","chiffon","lace","solid",1,"1"
