"Sex","Married","BankCustomer","EducationLevel","Ethicity","PriorDefault","Employed","Driverslicense","Citizen","Age","Debt","Yearsemployed","CreditScore","Zipcode","Income","class"
"b","y","p","w","v","t","t","f","g",22.67,1.585,3.085,6,80,0,"+"
"b","y","p","r","n","f","f","t","g",21.42,0.75,0.75,0,132,2,"-"
"b","u","g","e","z","t","t","t","g",76.75,22.29,12.75,1,0,109,"+"
"b","u","g","w","h","t","t","f","g",29.67,1.415,0.75,1,240,100,"+"
"a","y","p","q","h","f","f","f","g",18.17,10,0.165,0,340,0,"-"
"a","u","g","q","v","f","t","t","g",15.83,7.625,0.125,1,0,160,"-"
"b","y","p","c","v","t","f","f","g",35.25,16.5,4,0,80,0,"-"
"b","y","p","k","v","f","f","f","g",29.83,1.25,0.25,0,224,0,"-"
"b","u","g","k","v","t","t","f","g",52.5,6.5,6.29,15,0,11202,"+"
"b","u","g","x","v","t","t","t","g",31.67,0.83,1.335,8,303,3290,"+"
"a","u","g","cc","v","f","f","f","g",33.67,0.375,0.375,0,300,44,"+"
"a","l","gg","cc","ff","f","f","t","s",18.08,0.375,10,0,300,0,"+"
"b","u","g","cc","h","t","t","t","g",39.33,5.875,10,14,399,0,"+"
"b","u","g","ff","ff","f","f","f","g",49.17,2.29,0.29,0,200,3,"-"
"b","y","p","i","h","t","t","t","g",27.83,4,5.75,2,75,0,"-"
"b","u","g","c","v","f","f","f","g",24.58,1.25,0.25,0,110,0,"-"
"b","u","g","d","v","t","t","f","g",31.67,16.165,3,9,250,730,"+"
"a","y","p","k","v","f","t","f","g",40.33,8.125,0.165,2,6.8187027466801,18,"-"
"b","u","g","c","h","f","t","t","g",25.67,3.25,2.29,1,416,21,"-"
"b","u","g","q","v","f","t","f","g",20.08,0.125,1,1,240,768,"+"
"b","u","g","x","h","t","t","t","g",35.17,25.125,1.625,1,515,500,"+"
"a","u","g","q","v","f","f","t","g",19.5,0.165,0.04,0,380,0,"-"
"b","u","g","x","h","t","t","t","g",64.08,20,17.5,9,0,1000,"+"
"b","u","g","aa","v","t","f","t","g",31.83,2.5,7.5,0,523,0,"-"
"b","u","g","ff","ff","t","t","t","g",54.58,9.415,14.415,11,30,300,"+"
"b","u","g","c","v","f","f","t","s",21.17,0,0.5,0,0,0,"-"
"b","u","g","q","n","f","f","f","g",18,0.165,0.21,0,200,40,"+"
"b","u","g","m","v","f","t","f","g",24.08,0.875,0.085,4,254,1950,"-"
"a","y","p","ff","ff","f","f","f","g",52.17,0,0,0,0,0,"-"
"b","u","g","i","v","f","f","t","g",36.67,2,0.25,0,221,0,"-"
"b","u","g","x","v","t","t","f","g",22.58,10.04,0.04,9,60,396,"+"
"b","y","p","w","v","t","t","t","g",13.75,4,1.75,2,120,1000,"+"
"b","u","g","m","v","t","f","f","s",16.25,0.835,0.085,0,200,0,"-"
"b","u","g","d","h","f","f","f","g",29.25,13,0.5,0,228,0,"-"
"b","u","g","w","v","f","t","f","g",25.42,0.54,0.165,1,272,444,"-"
"b","u","g","k","v","f","f","f","g",48.08,6.04,0.04,0,0,2690,"+"
"b","u","g","k","v","f","f","t","g",32.33,3.5,0.5,0,232,0,"-"
"b","u","g","aa","v","t","f","t","g",34.08,6.5,0.125,0,443,0,"-"
"b","u","g","m","v","f","t","f","g",19.42,7.25,0.04,1,100,1,"-"
"b","u","g","c","v","f","t","f","g",23.25,12.625,0.125,2,0,5552,"-"
"a","y","p","ff","ff","f","f","f","g",22.25,1.25,3.25,0,280,0,"-"
"b","u","g","c","h","t","f","f","g",23.42,0.585,0.085,0,180,0,"-"
"b","u","g","i","bb","t","f","t","g",26.17,0.25,0,0,0,0,"+"
"a","u","g","m","h","f","t","t","g",27.25,0.29,0.125,1,272,108,"-"
"a","u","g","aa","v","t","f","t","g",17.58,9,1.375,0,0,0,"+"
"a","y","p","c","v","f","f","f","g",24.5,2.415,0,0,120,0,"-"
"b","u","g","x","h","f","f","t","s",35.17,4.5,5.75,0,711,0,"+"
"b","u","g","cc","h","t","t","t","g",45,8.5,14,1,88,2000,"+"
"a","u","g","ff","ff","f","f","t","s",53.33,0.165,0,0,62,27,"-"
"a","u","g","aa","v","t","t","t","g",24.75,12.5,1.5,12,120,567,"+"
"a","u","g","aa","h","t","f","f","g",24.58,0.67,1.75,0,400,0,"-"
"a","u","g","w","v","f","f","t","g",24.83,4.5,1,0,360,6,"-"
"a","u","g","ff","ff","f","f","f","g",5.3559834404136,11.25,0,0,-0.25112483778674,5200,"-"
"a","u","g","x","h","t","t","f","g",27.42,14.5,3.085,1,120,11,"+"
"a","u","g","aa","v","t","t","t","g",50.08,12.54,2.29,3,156,0,"+"
"b","u","g","q","h","t","t","t","g",41.42,5,5,6,470,0,"+"
"b","y","p","d","v","f","f","t","g",37.5,1.125,1.5,0,431,0,"+"
"b","u","g","c","v","f","f","f","p",34.58,0,0,0,5.69564911892963,0,"-"
"a","y","p","ff","ff","f","f","t","g",26.58,2.54,0,0,180,60,"-"
"b","u","g","e","v","f","f","f","g",15.17,7,1,0,600,0,"-"
"b","y","p","d","v","f","f","t","g",39.0818522146892,0.04,4.25,0,460,0,"-"
"a","u","g","k","h","t","f","t","g",49.83,13.585,8.5,0,0,0,"+"
"b","u","g","c","v","t","t","f","g",39.17,1.625,1.5,10,186,4700,"+"
"b","u","g","c","v","f","f","t","g",32.25,1.5,0.25,0,372,122,"-"
"b","u","g","i","bb","f","f","f","g",33.75,2.75,0,0,180,0,"-"
"b","u","g","e","h","t","t","f","g",57.42,8.5,7,3,0,0,"+"
"a","u","g","q","v","f","f","t","g",22.92,1.25,0.25,0,120,809,"-"
"a","y","p","c","v","f","f","t","g",33.25,2.5,2.5,0,0,2,"-"
"b","u","g","k","v","f","f","t","g",38.92,1.75,0.5,0,300,2,"-"
"a","u","g","c","v","t","t","f","g",30.67,12,2,1,220,19,"+"
"a","u","g","ff","ff","f","t","f","g",35.17,3.75,0,6,0,200,"-"
"b","u","g","d","v","f","f","t","g",26.75,2,0.75,0,80,0,"-"
"a","u","g","c","v","f","f","f","g",22.67,7,0.165,0,160,0,"-"
"a","u","g","q","v","t","t","t","g",23.5,9,8.5,5,120,0,"+"
"b","u","g","ff","ff","f","f","f","g",23.5,2.75,4.5,0,160,25,"-"
"a","u","g","aa","v","f","t","t","g",16,0.165,1,2,320,1,"-"
"b","u","g","w","v","t","t","f","g",22.33,11,2,1,80,278,"+"
"a","u","g","c","bb","t","t","t","g",30.5,6.5,4,7,0,3065,"+"
"b","u","g","c","bb","t","t","f","g",36.25,5,2.5,6,0,367,"+"
"b","u","g","c","v","f","f","f","g",21.92,0.5,0.125,0,360,0,"-"
"b","u","g","k","v","t","f","t","g",38.67,0.21,0.085,0,280,0,"+"
"b","u","g","c","v","t","t","f","g",25,11.25,2.5,17,200,1208,"+"
"b","y","p","cc","v","f","f","f","g",33.58,0.335,0.085,0,180,0,"-"
"b","y","p","c","h","t","f","t","g",52.33,1.375,9.46,0,200,100,"-"
"b","u","g","ff","ff","f","t","f","g",19.58,0.585,0,3,350,769,"-"
"a","u","g","q","h","t","t","f","g",24.75,3,1.835,19,0,500,"+"
"b","y","p","q","h","f","t","t","g",27.58,3.25,5.085,2,369,1,"-"
"b","y","p","c","h","t","t","t","g",32.25,0.165,3.25,1,432,8000,"+"
"a","u","g","k","h","f","f","f","g",21.92,11.665,0.085,0,320,5,"-"
"a","u","g","q","v","t","t","t","g",44.17,6.665,7.375,3,0,0,"+"
"b","y","p","k","v","f","f","f","g",22.5,0.125,0.125,0,200,70,"-"
"b","u","g","k","h","f","f","t","g",25.58,0.335,3.5,0,340,0,"-"
"a","u","g","q","h","t","t","f","g",24.08,0.5,1.25,1,0,678,"+"
"b","u","g","cc","v","t","t","f","g",25.17,3.5,0.625,7,0,7059,"+"
"b","u","g","c","v","f","f","t","g",47.33,6.5,1,0,0,228,"-"
"b","u","g","w","v","f","t","f","g",22,0.79,0.29,1,420,283,"-"
"a","y","p","j","ff","f","f","f","g",17.67,0,0,0,86,0,"-"
"a","u","g","cc","v","t","f","t","g",38.58,5,13.5,0,980,0,"-"
"b","u","g","i","h","f","f","t","g",23.58,0.835,0.085,0,220,5,"-"
"a","u","g","ff","ff","t","f","f","g",24.92,1.25,0,0,80,0,"-"
"a","u","g","m","v","f","t","t","g",27.58,3,2.79,1,280,10,"-"
"b","u","g","cc","v","t","t","t","g",39,5,3.5,10,0,0,"+"
"b","u","g","c","v","t","t","t","g",20.5,2.415,2,11,200,3000,"+"
"b","u","g","k","v","f","f","t","g",22.08,11.46,1.585,0,100,1212,"-"
"b","y","p","c","v","f","f","t","s",20.67,0.835,2,0,240,0,"-"
"b","y","p","k","v","f","f","f","g",38.25,10.125,0.125,0,160,0,"-"
"a","u","g","c","h","t","f","t","g",25.33,2.085,2.75,0,360,1,"-"
"a","y","p","ff","ff","f","f","f","g",23.58,0.585,0.125,0,120,87,"-"
"b","u","g","x","h","t","f","f","g",51.42,0.04,0.04,0,0,3000,"+"
"b","u","g","q","h","f","f","t","g",27.67,0.75,0.165,0,220,251,"-"
"b","y","p","j","v","f","f","f","g",20.75,5.085,0.29,0,140,184,"-"
"a","y","p","ff","ff","t","f","f","g",33.92,1.585,0,0,320,0,"-"
"b","u","g","c","v","f","f","f","s",23.75,12,2.085,0,80,0,"-"
"b","y","p","c","v","t","f","f","s",20.5,10,2.5,0,40,0,"+"
"b","u","g","x","h","t","t","t","g",34.92,5,7.5,6,0,1000,"+"
"a","u","g","w","v","f","f","f","g",19.58,0.665,1.665,0,220,5,"-"
"b","u","g","c","v","f","f","f","p",23.17,0,0,0,3.81631550276457,0,"+"
"b","y","p","c","v","f","t","f","g",18.83,0.415,0.165,1,200,1,"-"
"b","u","g","q","h","t","t","t","g",32.67,5.5,5.5,12,408,1000,"+"
"a","u","g","aa","v","f","f","f","g",38.92,1.665,0.25,0,0,390,"-"
"b","u","g","c","bb","t","f","f","g",41.33,0,15,0,0,0,"+"
"b","u","g","aa","v","t","t","f","g",21.33,7.5,1.415,1,80,9800,"+"
"b","u","g","c","h","t","t","f","g",48.75,8.5,12.5,9,181,1655,"+"
"a","u","g","q","h","t","t","f","g",58.67,4.46,3.04,6,43,560,"+"
"a","u","g","c","v","f","f","f","g",20.83,8.5,0.165,0,0,351,"-"
"b","u","g","aa","v","t","t","f","g",20.17,8.17,1.96,14,60,158,"+"
"b","u","g","cc","v","t","f","f","g",23.17,0,0.085,0,0,0,"+"
"a","u","g","q","h","f","t","t","g",30.58,10.665,0.085,12,129,3,"-"
"a","u","g","d","v","f","f","t","g",25.25,12.5,1,0,180,1062,"-"
"b","u","g","m","v","t","f","f","s",48.33,12,16,0,110,0,"+"
"b","u","g","d","bb","t","f","t","g",34.83,4,12.5,0,5.9550383100592,0,"-"
"b","y","p","e","h","f","f","f","g",21.08,10.085,1.25,0,260,0,"-"
"b","u","g","x","v","t","t","t","g",25.08,1.71,1.665,1,395,20,"+"
"b","u","g","x","v","t","t","f","g",38.17,10.125,2.5,6,520,196,"+"
"b","u","g","ff","ff","t","f","f","g",40.92,0.835,0,0,130,1,"-"
"b","u","g","x","h","t","t","f","g",42,9.79,7.96,8,0,0,"+"
"b","u","g","c","v","t","t","t","g",25.75,0.5,1.46,5,312,0,"+"
"b","u","g","m","v","f","t","t","g",42.83,1.25,13.875,1,352,112,"-"
"b","y","p","e","dd","f","f","f","g",18.33,1.21,0,0,100,0,"-"
"b","u","g","q","v","f","t","f","g",17.08,0.25,0.335,4,160,8,"-"
"b","y","p","d","v","t","t","t","g",21,3,1.085,8,160,1,"+"
"b","y","p","k","v","t","t","f","g",48.58,0.205,0.25,11,380,2732,"+"
"b","u","g","aa","v","f","f","f","g",19.5,9.585,0.79,0,80,350,"-"
"a","u","g","c","v","t","t","t","g",28.75,3.75,1.085,1,371,0,"+"
"b","u","g","m","v","t","f","f","s",44.25,0.5,10.75,0,400,0,"-"
"a","u","g","w","v","f","f","t","g",27.67,2.04,0.25,0,180,50,"-"
"b","y","p","m","v","f","f","f","g",18.08,6.75,0.04,0,140,0,"-"
"b","y","p","c","v","f","f","f","g",44.83,7,1.625,0,160,2,"-"
"b","u","g","w","h","t","t","t","g",23.08,11.5,2.125,11,290,284,"+"
"b","y","p","aa","v","t","f","f","g",25.67,2.21,4,0,188,0,"-"
"b","u","g","e","z","t","t","t","g",67.75,5.5,13,1,0,0,"+"
"a","u","g","aa","v","t","f","f","g",20.83,3,0.04,0,100,0,"+"
"b","u","g","c","v","t","f","f","s",23.25,1,0.835,0,300,0,"+"
"b","u","g","c","v","f","f","f","g",34.08,2.5,1,0,460,16,"-"
"b","y","p","m","bb","t","t","t","g",34.08,0.08,0.04,1,280,2000,"+"
"a","u","g","cc","h","t","t","t","g",46.67,0.46,0.415,11,440,6,"+"
"b","y","p","m","bb","f","f","t","s",19.17,0,0,0,500,1,"+"
"a","u","g","k","v","f","f","t","s",30.25,5.5,5.5,0,100,0,"-"
"b","u","g","d","bb","t","t","t","g",56.58,18.5,15,17,0,0,"+"
"b","u","g","q","h","t","f","t","g",48.58,6.5,6,0,350,0,"+"
"b","u","g","w","v","f","t","f","g",16,3.125,0.085,1,0,6,"-"
"a","u","g","x","h","t","t","f","g",17.83,11,1,11,0,3000,"+"
"a","u","g","q","v","t","t","f","g",23.25,5.875,3.17,10,120,245,"+"
"b","u","g","e","z","t","t","f","g",54.83,15.5,0,20,152,130,"-"
"b","u","g","c","v","f","f","f","p",20.42,0,0,0,3.36336480649346,0,"-"
"b","u","g","k","v","f","f","t","g",35.58,0.75,1.5,0,231,0,"-"
"a","y","p","e","dd","f","f","f","g",20.83,0.5,1,0,260,0,"-"
"b","y","p","m","v","f","f","t","s",30.58,2.71,0.125,0,80,0,"-"
"b","u","g","m","v","t","t","f","g",33.58,2.75,4.25,6,204,0,"+"
"b","u","g","i","bb","f","f","t","g",34.42,1.335,0.125,0,440,4500,"-"
"b","u","g","e","dd","f","t","f","g",24.42,2,0.165,2,320,1300,"-"
"b","u","g","w","v","f","f","f","g",47.17,5.835,5.5,0,465,150,"-"
"b","u","g","i","v","t","f","t","g",21.5,11.5,0.5,0,100,68,"-"
"a","u","g","c","v","t","t","t","g",47.75,8,7.875,6,0,1260,"+"
"b","u","g","x","h","t","f","f","g",26.75,1.125,1.25,0,0,5298,"+"
"a","u","g","q","v","t","t","f","g",18.75,7.5,2.71,5,-1.50951537332389,26726,"+"
"b","u","g","cc","h","f","f","t","s",30.67,2.5,2.25,0,340,0,"-"
"a","u","g","aa","h","f","f","f","g",52.5,7,3,0,0,0,"-"
"a","u","g","w","v","f","t","f","g",18.25,10,1,1,120,1,"-"
"b","u","g","k","v","t","f","f","s",28.75,1.165,0.5,0,280,0,"-"
"b","u","g","c","bb","t","f","t","s",27.1867596333585,0.5,0.835,0,320,0,"-"
"b","u","g","w","v","f","f","t","g",29.75,0.665,0.25,0,300,0,"-"
"b","u","g","c","bb","t","t","f","g",24.5,12.75,4.75,2,73,444,"+"
"a","u","g","c","v","t","t","t","g",28.67,1.04,2.5,5,300,1430,"+"
"b","y","p","cc","v","t","f","t","g",19.42,1.5,2,0,100,20,"-"
"b","y","p","aa","v","t","t","t","g",27.58,2.04,2,3,370,560,"+"
"b","u","g","w","v","t","t","t","g",27.83,1.54,3.75,5,100,3,"+"
"b","u","g","c","bb","t","f","f","g",25.75,0.75,0.25,0,349,23,"+"
"b","u","g","i","bb","t","f","f","g",42.75,3,1,0,0,200,"-"
"b","y","p","x","v","t","t","t","g",33.17,3.165,3.165,3,380,0,"+"
"a","u","g","aa","v","t","f","f","g",18.83,9.54,0.085,0,100,0,"+"
"b","u","g","aa","v","t","f","f","s",48.17,3.5,3.5,0,230,0,"+"
"b","y","p","i","h","f","f","t","s",39.17,2.5,10,0,200,0,"-"
"a","u","g","i","bb","t","f","t","g",28.58,3.54,0.5,0,171,0,"-"
"b","u","g","x","h","t","t","t","g",33.5,1.75,4.5,4,253,857,"+"
"a","u","g","q","v","t","f","t","g",60.58,16.5,11,0,21,10561,"+"
"b","u","g","c","v","f","f","t","g",23.58,1.79,0.54,0,136,1,"-"
"a","u","g","x","h","t","t","t","g",23,11.75,0.5,2,300,551,"+"
"a","u","g","q","v","t","t","f","g",22.5,8.5,1.75,10,80,990,"-"
"a","u","g","c","v","f","f","t","g",21.75,11.75,0.25,0,180,0,"-"
"b","u","g","aa","v","f","t","f","g",16.33,2.75,0.665,1,80,21,"-"
"b","u","g","cc","v","t","f","f","g",22.08,11,0.665,0,100,0,"+"
"b","u","g","w","v","t","f","t","g",24.58,12.5,0.875,0,260,0,"-"
"a","u","g","k","bb","t","t","t","g",33.75,0.75,1,3,212,0,"-"
"b","u","g","x","v","t","t","t","g",33.17,1,0.75,7,340,4071,"+"
"b","u","g","i","v","f","f","f","g",22.17,2.25,0.125,0,160,10,"-"
"b","u","g","k","v","f","f","t","g",22.25,0.46,0.125,0,280,55,"-"
"b","u","g","q","h","t","f","t","g",24.42,12.335,1.585,0,120,0,"+"
"a","u","g","cc","h","t","t","t","g",20.75,10.335,0.335,1,80,50,"+"
"b","u","g","q","v","t","f","t","g",59.67,1.54,0.125,0,260,0,"+"
"b","u","g","k","v","f","t","f","s",23.08,0,1,11,0,0,"-"
