"Sp","Latitude","Altitude","Rainfall","Frosts","Year","PMCno","DBH","Ht","Surv","Vig","Ins_res","Stem_Fm","Crown_Fm","Brnch_Fm","Utility"
"ov",-40.95,180,1080,-3,1982,1259,7.65,8.24,25,2,2,4,4,4,"0"
"re",-40.95,180,1080,-3,1981,1787,3.77,4.88,88,4,3.5,4,4,4,"1"
"fa",-40,150,1300,-2,1983,2548,26.51,7.66,10,2.5,3,3,3,3,"0"
"re",-40.95,180,1080,-3,1981,1787,11.58,8.37,63,4,3.5,4,4,3.5,"1"
"re",-40.95,180,1080,-3,1981,2431,10.25,10.02,36,3,3,4,4.5,3.5,"0"
"re",-40.6,150,1250,-3,1983,2550,23.1,18.59,63,4,3.5,3.3,3.3,3,"1"
"co",-40.95,180,1080,-3,1981,2562,7.99,5.49,17,2,3,2.5,3.3,3,"0"
"re",-41.2,160,1000,-3,1981,2430,13,10.4,4,3,3.5,2.5,2,4,"0"
"ob",-40.95,180,1080,-3,1981,1337,8.63,8.21,100,4,3,3.5,3.5,3.5,"1"
"ni",-41.1333333333333,220,1050,-2,1983,2568,20.29,9.27,88,2,2.5,3,3,2,"0"
"si",-40.95,180,1080,-3,1981,2435,14.93,9.39,63,4,3,3,2.5,2.5,"1"
"fr",-41.2,160,1000,-3,1981,1786,18.9,11.8,75,5,3,2.5,2.5,2,"0"
"rd",-40.95,180,1080,-3,1981,1524,3.21,3.72,50,1.5,2,2,4,4,"0"
"nd",-39.7166666666667,150,900,-2,1986,3068,29.76,13.55,49.3449490380643,2.84810359840574,2.71629791021247,2.7523975836799,2.97955460087134,2.65093150951344,"0"
"fr",-41.1333333333333,220,1050,-2,1983,2552,18.88,9.59,75,3,3,3,3.3,3,"1"
"nd",-41.1333333333333,220,1050,-2,1983,1596,16.18,7.67,88,3.5,3,2.5,4,3,"1"
"bxs",-40.95,180,1080,-3,1981,1111,6.29,4.62,100,3,2.5,2,2,2.5,"0"
"nd",-40,150,1300,-2,1983,2634,40.22,18.22,10,4,4.5,3,3.5,2,"1"
"ag",-40.95,180,1080,-3,1981,1094,5.26,5.48,63,2,1.5,2,2,2,"0"
"re",-40.95,180,1080,-3,1981,1787,5.3,4.88,38,3.5,3,4,4,4,"1"
"fr",-40.95,180,1080,-3,1982,2552,1.82,2.43,13,1,2.5,3,3,3,"0"
"ob",-40.95,180,1080,-3,1983,2458,8.46,7.05,13,2,3,3,3,3,"0"
"nd",-39.7166666666667,150,900,-2,1986,1596,25.84,11.76,58.2835146426432,2.89459301694603,2.72658211059632,2.81520725380686,3.00904740048486,2.68879216894336,"0"
"fr",-40,150,1300,-2,1983,2552,14.24,7.12,10,2,3,3,4,4,"0"
"re",-41.2666666666667,300,1200,-3,1982,2432,8.92,6.14,75,2.5,3,4,4,3.5,"0"
"ob",-40,150,1300,-2,1983,2570,24.87,11.66,40,3.3,3.4,3.5,4.1,3.4,"1"
"nd",-40,150,1300,-2,1983,1596,33.81,10.93,10,3.3,4,3.3,4,2.7,"1"
"re",-40.95,180,1080,-3,1981,2431,17.08,10.25,7,2.5,3,3,3.5,3,"0"
"nd",-39.7166666666667,150,900,-2,1986,1596,30.15,13.73,58.2842776394683,2.89462898674125,2.72661583041484,2.81524232227653,3.00908470138752,2.68882555557799,"0"
"re",-40.6,150,1250,-3,1983,2574,24.4,20.33,75,4.5,3.5,3.3,3.2,2.8,"1"
"co",-40.95,180,1080,-3,1983,1,9.12,9.67,50,3,4,3,3,3,"0"
"am",-41.1333333333333,220,1050,-2,1983,1592,19.34,8.3,100,3.5,3.5,2.5,3.5,2.5,"1"
"ob",-41.1333333333333,220,1050,-2,1983,1522,17.84,8.83,88,3.5,3,3,3,2.7,"1"
"mn",-40.1833333333333,130,1000,-3,1980,1362,4.7,5.5,20,1,1.5,2,3,3,"0"
"ni",-39.6333333333333,100,850,-2,1980,2088,17.15,8.22,60,5,2.7,3.5,3,2,"1"
"am",-39.7166666666667,150,900,-2,1986,2770,15.23,6.96,51.152096092916,2.85740076885353,2.71827264739602,2.76500158541336,2.98540664535526,2.65849004140012,"0"
"el",-39.8333333333333,70,1000,-2,1981,1338,15.8,10,38,3.5,3.5,3.3,3.5,3,"0"
"am",-39.7166666666667,150,900,-2,1986,3266,21.86,10,48.141128999427,2.8417802100143,2.71484889835012,2.74388070003873,2.97551484939061,2.64577381392649,"0"
"ni",-40.95,180,1080,-3,1983,2547,24.73,14.19,88,4.5,3,3,3,2.8,"1"
"nd",-41.2,160,1000,-3,1981,1596,11.6,8.9,100,4,3,4,4,4,"1"
"nd",-41.1333333333333,220,1050,-2,1983,2569,18.44,8.74,100,3.5,3.5,2.8,4,2.8,"1"
"ob",-40.95,180,1080,-3,1981,2469,7.68,8,88,4.5,3,4,4,4,"1"
"fa",-40.95,180,1080,-3,1983,2548,23.63,11.82,88,4.5,4,3,2.5,2,"1"
"am",-39.7166666666667,150,900,-2,1986,3267,19.91,13.63,48.1351598466086,2.84175266479517,2.71484562282338,2.74384200523148,2.97549895876044,2.64575182899093,"0"
"ma",-39.6333333333333,100,850,-2,1980,1362,10.32,6.5,50,2.3,2.5,3,3.5,3,"0"
"ob",-40.95,180,1080,-3,1981,2469,9.88,8.94,88,4,3,3.5,3.5,3.5,"1"
"ag",-40.95,180,1080,-3,1981,1094,2.86,3.2,25,2,2,2,2,2,"0"
"ni",-41.1333333333333,220,1050,-2,1983,2547,20.31,9.27,100,4,2.5,2.8,2.5,2.5,"1"
"re",-40.6,150,1250,-3,1983,2553,20.34,18.45,75,3.5,3,3.3,3.3,3,"1"
"ob",-41.2666666666667,300,1200,-3,1982,2570,10.16,7.74,100,3,3,4,4,4,"1"
"jo",-41.2,160,1000,-3,1981,1595,3.1,2.9,2,1.5,3,3,3.5,1,"0"
"pu",-40.95,180,1080,-3,1981,1598,6.78,5.62,63,3,4,2.5,3,2,"0"
"ov",-40.1833333333333,130,1000,-3,1980,1521,11.3,10,40,2.7,2,3.2,4,3,"0"
"ka",-40.95,180,1080,-3,1982,1171,11.62,11.62,2,2,2,4,3,3,"0"
"ov",-40.95,180,1080,-3,1981,1785,4.39,4.03,88,1.5,1.5,2,2,3,"0"
"jo",-39.8333333333333,70,1000,-2,1981,1595,7.8,5.3,50,1,1.5,4,4,4,"0"
"fr",-39.8333333333333,70,1000,-2,1981,1339,33.8,16,50,5,3,2,2,0.5,"1"
"re",-41.2666666666667,300,1200,-3,1982,2553,17.95,13.66,100,5,3,4.5,4.5,4,"1"
"re",-40,150,1300,-2,1983,2553,39.69,18.25,30,3.9,3.8,4.2,4.1,3.6,"1"
"re",-41.2,160,1000,-3,1981,1787,13,9,88,4,3,3.5,3,3,"1"
"re",-41.2666666666667,300,1200,-3,1982,2550,14.59,8.68,100,3,2,4,3,3,"0"
"nd",-40.6,150,1250,-3,1983,1596,19.04,14.75,50,3.5,4,2.5,2.5,2,"1"
"am",-46.0799268945514,150,1750,-2,1986,-22.4965746117427,27.68,12.64,81.4821685438582,3.52355062981812,3.27492504157932,3.45007759108428,3.63808045275897,3.26602419640836,"0"
"sm",-40.95,180,1080,-3,1981,1340,5.93,6.48,100,1.8,1.8,2,2,3,"0"
"te",-39.7166666666667,150,900,-2,1986,1609,21.89,8.21,58.203694896217,2.89414134471507,2.72645278485108,2.81461246386062,3.00874432929542,2.68841965788342,"0"
"ag",-39.8333333333333,70,1000,-2,1981,1094,7.8,7.4,63,1,1,3,3,3,"0"
"ob",-41.2666666666667,300,1200,-3,1982,2570,16.93,8.1,75,2.5,2,2.5,2.5,2,"0"
"ov",-41.2666666666667,300,1200,-3,1982,1788,6.06,4.2,100,1.5,1.5,2,2,1,"0"
"jo",-40.95,180,1080,-3,1981,1595,5.34,3.05,75,2.7,1,3,4,4,"0"
"br",-41.2666666666667,300,1200,-3,1982,2621,5.1,2.66,75,3,2,2,2,3,"0"
"br",-40.95,180,1080,-3,1981,1113,3.98,3.98,75,3,2,3,4,3,"0"
"br",-41.2666666666667,300,1200,-3,1982,2620,7.3,5.91,100,2,2,3,4,4,"0"
"am",-41.2666666666667,300,1200,-3,1982,2560,6.35,4.62,100,3,4,2,3,4,"0"
"re",-41.2,160,1000,-3,1981,1787,10.3,10,4,3,4,3,3,3,"0"
"pu",-39.6333333333333,100,850,-2,1980,1523,18.71,10.9,100,4,4,3.3,4,3,"1"
"pu",-39,200,1400,-2,1980,1523,31.72,9.96,66.5634039284753,4.5,4,3.5,3.5,3,"1"
"co",-40.95,180,1080,-3,1981,2562,8.83,8.6,63,3,3.5,3.5,3.5,3,"0"
"ov",-39.8333333333333,70,1000,-2,1981,1785,7.2,6,50,1.3,1.3,4,4,4,"0"
"rd",-40,150,1300,-2,1983,2575,19.91,6.77,40,1.6,1.8,2.3,2.5,2.3,"0"
"nd",-39,200,1400,-2,1980,1596,25.99,9.6,66.1192667257606,4,4,3,4,2.7,"1"
"pu",-40,150,1300,-2,1983,2573,8.72,10.17,10,1.5,4,4,4,4,"0"
"ro",-39.8333333333333,70,1000,-2,1981,1192,8.9,5.2,63,2.5,1.8,3,3,3,"0"
"sm",-41.2666666666667,300,1200,-3,1982,1340,2.63,2.39,50,1,1.5,1,2,2,"0"
"co",-39.7166666666667,150,900,-2,1986,2562,33.6,14.17,52.4183865336663,2.86412252126191,2.71986891928612,2.77402562645659,2.98973235947166,2.66398155710541,"0"
"fa",-41.1333333333333,220,1050,-2,1983,1482,21.8,8.52,100,2,3,3,3,3,"0"
"re",-41.2666666666667,300,1200,-3,1982,2432,12.39,10.77,75,3,3,4,4,4,"1"
"nd",-39.8333333333333,70,1000,-2,1981,1596,15.3,10.8,75,3,3,3,4,3.5,"1"
"co",-39.6333333333333,100,850,-2,1980,1520,10.75,5.91,50,2.7,4,3.3,3.5,3,"0"
"br",-39.8333333333333,70,1000,-2,1981,1112,14,10,100,2.5,1.5,3,4,4,"0"
"am",-39.7166666666667,150,900,-2,1986,3269,25.71,11.74,48.1235900029574,2.84171743789328,2.71485791424376,2.74378386513342,2.97548790058629,2.64572633134324,"0"
"am",-39.7166666666667,150,900,-2,1986,3268,14.31,6.53,48.1276448007428,2.84165390509861,2.71477573513721,2.74373380285587,2.97540930130896,2.64566376729482,"0"
"br",-40.95,180,1080,-3,1981,1112,7.83,6.68,100,3,1.8,3.5,4,4,"1"
"nd",-41.2666666666667,300,1200,-3,1982,2634,17.77,10.42,50,3,3,2,2,2,"0"
"fr",-40.1833333333333,130,1000,-3,1980,1487,37.6,13,10,5,4,2,2,1,"1"
"cr",-41.1333333333333,220,1050,-2,1983,1252,12.52,9.23,100,3,2.8,2,2.8,2,"0"
"re",-40.95,180,1080,-3,1982,2574,1.17,2.34,25,1,3,3,3,3,"0"
"ni",-41.1333333333333,220,1050,-2,1983,2547,18.16,8.29,75,4,2.3,3.3,3.3,3,"1"
"pa",-41.1333333333333,220,1050,-2,1983,2750,14.5,8.17,88,1,3,3,3,3,"0"
"ni",-40.1833333333333,130,1000,-3,1980,2088,10.3,9.4,80,3,2.5,3,3,3,"1"
"am",-39.7166666666667,150,900,-2,1986,3268,17.69,8.08,48.1282436647163,2.84168213628147,2.71480220032495,2.74376132666963,2.97543857717563,2.64568997105017,"0"
"ov",-39.8333333333333,70,1000,-2,1981,1785,9.8,7.5,75,1.7,1.3,3.3,4,3.5,"0"
"el",-40.95,180,1080,-3,1982,2638,0.58,1.75,25,1.5,3,3,3,3,"0"
"ov",-39,200,1400,-2,1980,1521,33.3,13.32,66.5758499231953,4,2.3,3.3,2,1,"1"
"co",-46.0802246276575,150,1750,-2,1986,-22.479056627717,30.93,13.05,81.4825832079758,3.52357264425384,3.2749458979942,3.45009893887165,3.63810340498336,3.2660446646811,"0"
"fr",-41.1333333333333,220,1050,-2,1983,2751,12.35,6.27,71,4,4,2.5,3.5,2.5,"1"
"co",-40,150,1300,-2,1983,2562,33.19,14.42,30,3.6,3.7,3.2,3.7,3.2,"1"
"ob",-40.95,180,1080,-3,1983,1522,1.41,2.82,13,1,3,3,3,3,"0"
"ov",-41.2666666666667,300,1200,-3,1982,1259,10.37,5.6,100,3,2,2,2,1,"0"
"br",-41.2666666666667,300,1200,-3,1982,2621,8.11,4.98,100,3,1,4,4,4,"0"
"sm",-40.95,180,1080,-3,1982,1340,2.1,3.38,50,1,1,3,3,3,"0"
"am",-39.7166666666667,150,900,-2,1986,2460,29.6,13.52,53.0372277863129,2.8673181176938,2.72055732591998,2.77835276689326,2.99174923486954,2.66658108780032,"0"
"ka",-40.95,180,1080,-3,1982,2631,9.06,6.97,25,1.3,1,2,2,3,"0"
"re",-41.2666666666667,300,1200,-3,1982,2553,17.72,11.93,75,4,3,5,4,4,"1"
"ni",-41.1333333333333,220,1050,-2,1983,2568,16.7,7.64,100,3.5,2.8,3,3,2,"1"
"te",-39.7166666666667,150,900,-2,1986,2768,29.91,11.22,51.1665973681256,2.85757547475408,2.71839122427185,2.76519564962127,2.98556240818547,2.65864501950825,"0"
"si",-41.2,160,1000,-3,1981,2435,6,7,13,3,3,4,4,4,"0"
"br",-41.2,160,1000,-3,1981,1112,7.4,6.6,3,2,3,3,3,1,"0"
"sm",-39.8333333333333,70,1000,-2,1981,1340,20.1,6.9,88,3,2.5,1,0.5,0,"0"
"ag",-41.2,160,1000,-3,1981,1094,12,10.3,38,2.8,3.2,2.8,3.2,3,"0"
"ni",-39.6333333333333,100,850,-2,1980,2088,14.5,10.78,90,4,2.7,3.3,3,3,"1"
"re",-41.1333333333333,220,1050,-2,1983,2553,11.28,6.41,50,4,3.5,3.5,3.5,3,"1"
"si",-39.6333333333333,100,850,-2,1980,1525,17.52,9.22,60,4,3,3,3,2,"1"
"re",-40.95,180,1080,-3,1981,2428,6.48,6.42,38,4,3.5,4,4,3.5,"1"
"ob",-41.1333333333333,220,1050,-2,1983,2570,16.55,8.21,100,3.5,3,3.5,3.3,3,"1"
"nd",-40.95,180,1080,-3,1983,2569,16.69,11.67,75,3,3.8,3.4,4,3.5,"0"
"ob",-41.2666666666667,300,1200,-3,1982,2570,6.05,5.44,100,3,2.5,3.5,3.5,3,"0"
"am",-41.1333333333333,220,1050,-2,1983,2560,16.5,7.08,75,3,3.5,2.5,4,3,"1"
"pu",-40.1833333333333,130,1000,-3,1980,1523,20.8,12,20,3,4,3,3.5,3,"0"
"nd",-40.6,150,1250,-3,1983,2634,26.28,20.11,25,3.1,3,3,3,2,"1"
"re",-40.95,180,1080,-3,1983,2553,9.73,11.04,75,3,3,3.5,4,3.5,"1"
"ov",-40.95,180,1080,-3,1982,1259,9.65,8.01,100,3,2,3,3.5,3,"0"
"fa",-41.1333333333333,220,1050,-2,1983,2548,13.7,5.35,88,4,3,2,3,1.5,"1"
"nd",-41.2666666666667,300,1200,-3,1982,2569,12.5,6.62,100,3,3,3,3,3,"1"
"fr",-39.8333333333333,70,1000,-2,1981,2447,21.4,12.7,75,4.6,4,3,3,3,"1"
"ob",-39,200,1400,-2,1980,1522,39.72,13.82,66.5708647387479,5,4,3.3,3,2,"1"
"ag",-39.8333333333333,70,1000,-2,1981,1094,13.5,4,13,0.5,0,1,1,1,"0"
"nd",-39.7166666666667,150,900,-2,1986,3271,18.73,8.53,48.1102066580604,2.84159588760393,2.71478920825529,2.74364160343164,2.97538728308678,2.64562069788716,"0"
"fr",-40.95,180,1080,-3,1983,2552,1.59,2.89,38,2.5,3,3,3,3,"0"
"am",-39.7166666666667,150,900,-2,1986,2770,11.25,5.14,51.1513914328675,2.85736754936973,2.71824150586551,2.76496919833108,2.9853721965504,2.65845920756625,"0"
"co",-39.7166666666667,150,900,-2,1986,2562,40.44,17.06,52.4195739423521,2.86417854240496,2.71992144005768,2.7740802418068,2.98979045591376,2.66403355571832,"0"
"fr",-40.6,150,1250,-3,1983,2552,31.73,18.88,63,3.8,3.2,3,3,2,"1"
"br",-41.2,160,1000,-3,1981,1113,3.3,2.7,100,1.5,1,2,3,3,"0"
"nd",-40.95,180,1080,-3,1981,1596,2.73,3.77,100,2.5,4,3.5,4.5,4,"1"
"ra",-39.7166666666667,150,900,-2,1986,1825,19.63,8.97,56.8917336872626,2.88730393083312,2.7249290395883,2.80538063663142,3.00440039087484,2.68284953606193,"0"
"am",-40.95,180,1080,-3,1982,2560,4.39,5.19,50,2.5,3.5,3,4.5,4,"0"
"pu",-39.8333333333333,70,1000,-2,1981,1598,15.9,12.8,100,4,4,3.3,4,3,"1"
"pu",-40.95,180,1080,-3,1983,2573,5.19,4.44,13,1.5,2.5,3,3,3,"0"
"am",-40.95,180,1080,-3,1982,1592,7.5,8.08,25,2,3,3,4,4,"0"
"re",-41.2,160,1000,-3,1981,2431,9,9.6,75,4,3,4,3,2.5,"1"
"pu",-39.8333333333333,70,1000,-2,1981,1598,14,10.3,100,3.5,4,2,3,2,"0"
"pu",-39.6333333333333,100,850,-2,1980,1523,19.05,11.26,100,5,4.5,3.5,4,2,"1"
"br",-41.2,160,1000,-3,1981,1113,8.6,9.5,100,2,1.5,4,4,4,"0"
"nc",-40.95,180,1080,-3,1981,1780,2.6,3.64,38,1,2,2,2,3,"0"
"ov",-40.95,180,1080,-3,1983,2571,14.82,14.23,50,3,1.7,4,4,3.5,"1"
"pu",-39.8333333333333,70,1000,-2,1981,1598,15.2,14.4,100,4.5,4,3,4,3,"1"
"pu",-39.7166666666667,150,900,-2,1986,3273,25.85,11.06,48.0992494503175,2.84158884153553,2.71482785552781,2.74361097068855,2.97540541363901,2.64562134738939,"0"
"re",-40.95,180,1080,-3,1981,2428,3.63,5.02,63,4,3.5,4,4,3.5,"1"
"rd",-40.95,180,1080,-3,1983,2575,13.54,8.81,88,2.7,2,2.5,3,3,"0"
"rd",-41.1333333333333,220,1050,-2,1983,2575,6.65,5.08,88,2.5,2.5,2.5,3,3,"0"
"br",-40.95,180,1080,-3,1982,2620,2.29,3.2,50,1,1,3,3,3,"0"
"re",-40.6,100,1250,-2,1983,-4.46837625957937,22.34,8.84,25,3.8,3.5,3,3.5,3,"0"
"jo",-39.8333333333333,70,1000,-2,1981,1595,6.5,4.4,63,0.5,0.5,4,4.5,4,"0"
"ra",-39.7166666666667,150,900,-2,1986,1257,21.07,9.62,60.3413759295078,2.90526738416759,2.72892046240244,2.82964096181056,3.01580627674874,2.6974816471351,"0"
"ov",-39.6333333333333,100,850,-2,1980,1521,13.93,9.77,80,4,2,3,3,3,"1"
"ob",-39.8333333333333,70,1000,-2,1981,1337,22.2,14.6,63,5,3,4,4,3.2,"1"
"ov",-39.6333333333333,100,850,-2,1980,1521,8.78,5.79,50,2.5,2,3.2,3.3,3,"0"
"fa",-41.2666666666667,300,1200,-3,1982,1482,2.37,2.73,50,1,3,3,3,3,"0"
"te",-39.7166666666667,150,900,-2,1986,3274,26.87,10.08,48.0932135585262,2.84155924536445,2.71482275462134,2.74357022523696,2.97538745084262,2.64559747424611,"0"
"nd",-40.95,180,1080,-3,1983,2569,11.23,10.34,50,3,3.5,3.3,4,3.5,"1"
"ob",-39.8333333333333,70,1000,-2,1981,1337,24.5,13.5,75,5,3,4,4,2.5,"1"
"ni",-40.95,180,1080,-3,1983,2568,11.66,8.57,75,3,2.5,2.5,2.5,2.5,"0"
"nd",-39.7166666666667,150,900,-2,1986,3270,35.78,16.29,48.1192945841879,2.84176963670519,2.71492946917811,2.7438228769875,2.9755547469299,2.64577837549055,"0"
"fr",-41.2,160,1000,-3,1981,1339,15,11.6,4,3,2,2,2,3,"0"
"am",-40.95,180,1080,-3,1982,1592,11.77,8.08,75,3,4,3,4,3,"1"
"sm",-40.95,180,1080,-3,1982,1340,2.1,3.85,25,1,2,3,3,3,"0"
"fa",-41.1333333333333,220,1050,-2,1983,2548,15.98,6.24,63,3.5,4,2.8,2.8,2.5,"0"
"fa",-41.2,160,1000,-3,1981,1978,11,8.1,100,4,3,2,2,2,"1"
"pu",-40.95,180,1080,-3,1981,1598,10.75,9.26,88,4,4,4,4,4,"1"
"pu",-41.2666666666667,300,1200,-3,1982,2573,10.78,6.62,100,2.5,4,3,3,2,"0"
"bxs",-41.2,160,1000,-3,1981,1111,1.6,1.8,88,1,2,3,3,3,"0"
"ni",-40.6,150,1250,-3,1983,2568,47.73,18.55,13,3.5,2.7,2,2,2,"1"
"pu",-41.2666666666667,300,1200,-3,1982,2573,7.84,4.29,25,2,4,1,2,3,"0"
"fr",-40.95,180,1080,-3,1981,2447,9.99,6.83,88,4,3,3.5,3,2.5,"1"
"ag",-41.2,160,1000,-3,1981,1094,10.5,6,25,3,3,2,3,2.5,"0"
"ag",-40.95,180,1080,-3,1981,1094,1.03,2.17,13,2,2,2,2,2,"0"
"rd",-40.95,180,1080,-3,1982,2575,4.84,4.13,50,2,1.5,3,3,3,"0"
"ni",-40.6,150,1250,-3,1983,2547,20.8,10.23,13,3,3,3,2.5,3,"0"
"nd",-40,150,1300,-2,1983,2569,22.15,14.57,20,3,4,3,3.4,3,"1"
"re",-40.95,180,1080,-3,1983,2550,9.15,8.42,25,3,3.5,3.5,4,4,"0"
"nd",-39.6333333333333,100,850,-2,1980,1596,14.8,9.48,70,3.7,3,3.3,4,3.5,"1"
"fa",-39.8333333333333,70,1000,-2,1981,1482,20,13.2,75,4.5,3,4,4,4,"1"
"pu",-40.6,150,1250,-3,1983,2573,21.7,17.42,88,3,3.5,3,3.3,2.3,"1"
"nd",-41.2666666666667,300,1200,-3,1982,2634,7.97,5.88,75,2.5,3,3,3,3.5,"0"
"fa",-41.1333333333333,220,1050,-2,1983,2548,6.34,3.65,100,3,3,2,2.5,2.5,"0"
"br",-39.8333333333333,70,1000,-2,1981,1112,13.1,10.6,88,2,2,3,3,3,"0"
"pu",-40.95,180,1080,-3,1982,2573,15.02,8.04,75,3,4,3,3.2,2.5,"0"
"el",-41.2,160,1000,-3,1981,1338,7.3,5.6,3.5,3,2.5,2.5,2.5,1.5,"0"
"am",-40,150,1300,-2,1983,1592,43.29,17.2,20,4.5,4.5,3.7,4,3,"1"
"co",-40.95,180,1080,-3,1983,1,6.77,7.19,75,3,3,2.7,3,3,"0"
"fr",-39.8333333333333,70,1000,-2,1981,1786,13.3,10.8,75,4,3.8,4,4,4,"1"
"bxs",-41.2,160,1000,-3,1981,1111,15,8.4,88,3,3,3,3,2,"0"
"ni",-41.1333333333333,220,1050,-2,1983,2568,21.09,9.63,63,4,3,4,3.3,3,"1"
"re",-41.1333333333333,220,1050,-2,1983,2553,11.55,6.56,100,3,2.7,3.3,4,4,"1"
"el",-41.2,160,1000,-3,1981,1338,8.2,6.6,63,4,4,3,3,3,"0"
"ov",-40.6,150,1250,-3,1983,1788,7.4,13.38,25,1,2,3.2,3,3,"0"
"sm",-41.2,160,1000,-3,1981,1340,7.7,6.1,2,2,2,2,3,0.5,"0"
"jo",-39.8333333333333,70,1000,-2,1981,1595,5.2,4.3,75,0.5,0.5,4,4,4,"0"
"ov",-40.95,180,1080,-3,1983,2571,8.83,7.91,63,3.5,2.5,3.5,4,4,"1"
"am",-41.1333333333333,220,1050,-2,1983,1592,23.59,9.87,75,3,4,3,4,3,"1"
"ov",-40.95,180,1080,-3,1982,1788,15.31,11.77,75,3,2,4,4,4,"1"
"ov",-41.2666666666667,300,1200,-3,1982,1788,2.68,2.33,75,1,1.5,2,2,2,"0"
"fa",-40.95,180,1080,-3,1981,2426,8.3,5.93,4,2,3.5,3,3,3,"0"
"pu",-41.2666666666667,300,1200,-3,1982,2573,2.45,3.06,50,1.5,4,1,2,3,"0"
"ni",-40.6,100,1250,-2,1983,2568,28.21,9.47,94,4.6,3,2,1.8,1.2,"1"
"re",-40.6,150,1250,-3,1983,2553,25.57,17.43,50,3.7,3,2.7,3,2,"0"
"te",-39.7166666666667,150,900,-2,1986,1609,33.99,12.75,58.205738592709,2.89423787208395,2.72654329040492,2.81470656398143,3.00884443785848,2.68850925573252,"0"
"sm",-41.2,160,1000,-3,1981,1340,6.2,5.3,100,2,2,2.5,2.5,3,"0"
"fa",-40.95,180,1080,-3,1983,1482,14.03,9.9,63,3.5,4,3.5,3,3,"1"
"am",-41.2666666666667,300,1200,-3,1982,1592,20.43,10.39,75,3,4,2,3,2,"1"
"rd",-40.6,150,1250,-3,1983,2575,3.62,6.03,25,1,3,2.5,2.5,3,"0"
"ov",-40,150,1300,-2,1983,1788,17.33,8.32,40,1.9,2.1,2.5,3,2.8,"0"
"re",-40.95,180,1080,-3,1981,2553,11.96,9.91,33,4,4,4,4,4,"1"
"bxs",-40.95,180,1080,-3,1981,1111,6.92,4.54,48,3,3,2.5,2,2,"0"
"bxs",-39.8333333333333,70,1000,-2,1981,1111,16.4,13.3,100,4.5,3,3.3,3.3,2.7,"1"
"ka",-39.8333333333333,70,1000,-2,1981,1171,13.1,10.1,100,2,2,2,2,2,"0"
"nc",-41.2,160,1000,-3,1981,1780,8.8,5.3,63,3,3,3,4,4,"0"
"rd",-39,200,1400,-2,1980,1524,22.72,11.52,66.5561703836423,3,2.5,3.5,3.5,2.8,"1"
"ob",-41.2,160,1000,-3,1981,1337,19.6,11.8,63,5,3,3.5,3,2,"1"
"fa",-41.2666666666667,300,1200,-3,1982,2426,11.85,7.47,50,3,3,4,3,3,"0"
"co",-39.6333333333333,100,850,-2,1980,1520,8.15,6.72,70,1.5,3,3,3,3,"0"
"ov",-40.6,150,1250,-3,1983,2571,19.35,17.3,50,2.5,2,3.2,4,4,"0"
"cr",-40,150,1300,-2,1983,1252,26.59,10.8,40,3.6,3.8,2.6,2.6,2.5,"1"
"nd",-40.95,180,1080,-3,1983,1596,7.68,6.56,50,3,3.5,3.5,4,4,"0"
"br",-40.95,180,1080,-3,1982,2621,3.09,2.63,75,2.5,2,3.3,3.3,3.3,"0"
"ni",-41.1333333333333,220,1050,-2,1983,2547,21.25,9.62,100,3.5,2.5,3,3,2,"1"
"rd",-39.6333333333333,100,850,-2,1980,1524,7.62,6.59,80,2.5,2.5,3.3,3.5,3.5,"0"
"pu",-41.2,160,1000,-3,1981,1598,15.3,12.7,3,4,2.5,3,2,3,"0"
"sm",-39.8333333333333,70,1000,-2,1981,1340,8.8,6.3,100,2,2,1,2,2,"0"
"ov",-40.95,180,1080,-3,1982,1785,3.53,3.3,75,1.8,2,2.5,3,3,"0"
"nd",-41.2666666666667,300,1200,-3,1982,2569,17.03,10.42,100,3,3,4,4,3,"1"
"ag",-41.2,160,1000,-3,1981,1094,7.3,6.8,2.5,3.5,3.5,3.5,3.5,1.5,"0"
"nd",-41.2666666666667,300,1200,-3,1982,2569,13.73,7.6,75,2.5,2,3,3,3,"0"
"am",-40.6,150,1250,-3,1983,2560,20.24,14.6,63,3,3.5,3,3.7,2.5,"1"
"ob",-39.6333333333333,100,850,-2,1980,1522,17.01,12.28,70,5,4,5,4,4.5,"1"
"am",-39.7166666666667,150,900,-2,1986,2770,20.85,9.52,51.1530901274833,2.85744763202108,2.71831657932942,2.76504727421585,2.98545524283355,2.65853353912537,"0"
"cr",-40.6,150,1250,-3,1983,1252,17.36,15.64,50,3.5,3.5,2.5,2.5,2.5,"0"
"el",-41.2666666666667,300,1200,-3,1982,2638,5.25,3.5,50,2,3,3,3,4,"0"
"nd",-39.7166666666667,150,900,-2,1986,3068,32.15,14.64,49.3453718988052,2.8481235336816,2.71631659853957,2.75241701940005,2.97957527389923,2.65095001314939,"0"
"ob",-41.1333333333333,220,1050,-2,1983,1522,15.73,7.8,88,3.5,2.8,3,3.5,3.5,"1"
"fa",-40.95,180,1080,-3,1983,2548,2.95,4.43,13,1,2,3,3,3,"0"
"pu",-39.7166666666667,150,900,-2,1986,2573,27.66,11.83,52.3505706854347,2.86372698292046,2.71974694081192,2.7735093389831,2.98946204932258,2.66365395552296,"0"
"re",-40,150,1300,-2,1983,2553,27.44,11.32,20,3.5,3,3.3,4,2.9,"1"
